rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0126.jpg,50.4,0.7583,0.6126,1.0,0.76,7,6,False,True
2,frame_0070.jpg,28.0,0.7345,0.7689,0.5,1.0,4,3,False,True
3,frame_0291.jpg,116.4,0.7326,0.5292,1.0,0.84,6,6,False,True
4,frame_0031.jpg,12.4,0.7241,0.6482,0.6667,1.0,7,4,False,True
5,frame_0074.jpg,29.6,0.7197,0.6394,0.6667,1.0,6,4,False,False
6,frame_0129.jpg,51.6,0.6914,0.7308,0.5,0.88,6,3,False,False
7,frame_0302.jpg,120.8,0.6859,0.6117,1.0,0.4,6,6,False,True
8,frame_0284.jpg,113.6,0.6731,0.7221,0.6667,0.56,5,4,False,True
9,frame_0010.jpg,4.0,0.6685,0.837,0.1667,1.0,1,1,False,True
10,frame_0077.jpg,30.8,0.6553,0.5585,0.6667,0.88,7,4,False,True
11,frame_0387.jpg,154.8,0.653,0.6259,1.0,0.2,8,6,False,True
12,frame_0288.jpg,115.2,0.6472,0.7063,0.5,0.72,4,3,False,False
13,frame_0318.jpg,127.2,0.6371,0.6782,0.8333,0.24,7,5,False,True
14,frame_0004.jpg,1.6,0.6361,0.5723,0.5,1.0,3,3,False,True
15,frame_0069.jpg,27.6,0.6343,0.4685,0.6667,1.0,5,4,False,False
16,frame_0002.jpg,0.8,0.6333,0.4666,0.6667,1.0,5,4,False,False
17,frame_0007.jpg,2.8,0.6329,0.5658,0.5,1.0,5,3,False,False
18,frame_0276.jpg,110.4,0.6282,0.5604,1.0,0.24,9,6,False,True
19,frame_0073.jpg,29.2,0.6219,0.5438,0.5,1.0,6,3,False,False
20,frame_0024.jpg,9.6,0.6211,0.7422,0.1667,1.0,1,1,False,False
21,frame_0274.jpg,109.6,0.6139,0.7638,0.6667,0.16,7,4,False,False
22,frame_0067.jpg,26.8,0.6068,0.5136,0.5,1.0,8,3,False,False
23,frame_0170.jpg,68.0,0.6057,0.6194,0.6667,0.48,4,4,False,False
24,frame_0071.jpg,28.4,0.6049,0.5097,0.5,1.0,5,3,False,False
25,frame_0000.jpg,0.0,0.6018,0.4035,0.6667,1.0,5,4,False,False
26,frame_0375.jpg,150.0,0.5944,0.6088,0.8333,0.2,8,5,False,False
27,frame_0130.jpg,52.0,0.5933,0.6187,0.3333,0.92,3,2,False,False
28,frame_0015.jpg,6.0,0.5917,0.4835,0.5,1.0,4,3,False,False
29,frame_0127.jpg,50.8,0.5888,0.6577,0.3333,0.8,5,2,False,False
30,frame_0030.jpg,12.0,0.5887,0.4775,0.5,1.0,4,3,False,False
31,frame_0389.jpg,155.6,0.582,0.6161,0.8333,0.12,7,5,False,False
32,frame_0283.jpg,113.2,0.5787,0.5494,0.6667,0.52,5,4,False,False
33,frame_0306.jpg,122.4,0.5781,0.7602,0.5,0.24,7,3,False,False
34,frame_0198.jpg,79.2,0.575,0.874,0.1667,0.44,1,1,False,False
35,frame_0013.jpg,5.2,0.5733,0.4466,0.5,1.0,4,3,False,False
36,frame_0386.jpg,154.4,0.5727,0.5495,0.8333,0.24,8,5,False,False
37,frame_0114.jpg,45.6,0.5703,0.5286,0.8333,0.28,6,5,False,False
